English Word	Valence	Arousal	Dominance	Hebrew Word
aaaaaaah	0.479	0.606	0.291	אאאאאאאא
aaaah	0.520	0.636	0.282	אההה
aardvark	0.427	0.490	0.437	חרדון
aback	0.385	0.407	0.288	המום
abacus	0.510	0.276	0.485	אַבַּקוּס
abalone	0.500	0.480	0.412	אָבָּלוֹנֶה
abandon	0.052	0.519	0.245	לִנְטוֹשׁ
abandoned	0.046	0.481	0.130	נָטוּשׁ
abandonment	0.128	0.430	0.202	נְטִישָׁה
abashed	0.177	0.644	0.307	נבוך
abate	0.255	0.696	0.604	לְשַׁכֵּך
abatement	0.388	0.338	0.336	הַפחָתָה
abba	0.562	0.500	0.480	אבא
abbey	0.580	0.367	0.444	מִנזָר
abbot	0.427	0.321	0.483	רֹאשׁ מִנזָר
abbreviate	0.531	0.375	0.330	לְקַצֵר
abbreviation	0.469	0.306	0.345	נוֹטָרִיקוֹן
abdomen	0.469	0.462	0.471	בֶּטֶן
abdominal	0.490	0.456	0.445	בִּטנִי
abduct	0.173	0.720	0.615	לַחטוֹף
abduction	0.062	0.990	0.673	חֲטִיפָה
aberrant	0.146	0.765	0.431	סוֹטֶה
aberration	0.125	0.816	0.417	סְטִיָה
abeyance	0.330	0.510	0.292	מבוי סתום
abhor	0.125	0.602	0.349	לְתַעֵב
abhorrence	0.167	0.684	0.420	סלידה
abhorrent	0.229	0.750	0.474	שָׂנוּא
abide	0.635	0.354	0.705	לעמוד
abiding	0.796	0.327	0.750	עמידה
ability	0.875	0.510	0.816	יְכוֹלֶת
abject	0.354	0.590	0.417	בָּזוּי
ablation	0.418	0.500	0.500	כְּרִיתָה
ablaze	0.240	0.847	0.525	בָּאֵשׁ
able	0.786	0.500	0.810	יכול
abnormal	0.137	0.604	0.309	לֹא נוֹרמָלִי
abnormality	0.092	0.655	0.383	חֲרִיגוּת
aboard	0.698	0.284	0.481	חוץ לארץ
abode	0.620	0.302	0.500	מָקוֹם
abolish	0.448	0.615	0.529	לְבַטֵל
abolition	0.323	0.690	0.529	ביטול
abominable	0.120	0.731	0.482	מְתוֹעָב
abominate	0.198	0.788	0.366	תועבה
abomination	0.078	0.755	0.518	תוֹעֵבָה
aboriginal	0.448	0.427	0.542	קַדמוֹן
abort	0.153	0.686	0.429	לְהַפִּיל
abortion	0.082	0.770	0.283	הפלה
abortive	0.090	0.776	0.280	כּוֹשֵׁל
abound	0.704	0.490	0.681	בשפע
abovementioned	0.541	0.298	0.509	לְעֵיל
abracadabra	0.673	0.632	0.434	אברה קדברה
abrasion	0.406	0.592	0.441	שְׁחִיקָה
abrasive	0.392	0.610	0.593	מְשַׁפשֵׁף
abreast	0.635	0.380	0.519	בחזית
abroad	0.677	0.596	0.561	מחוץ לארץ
abrogate	0.327	0.510	0.594	לבטל
abrupt	0.271	0.819	0.545	פִּתְאוֹמִי
